File,Yake,TextRank,SingleRank,TopicRank,PositionRank,MultipartiteRank
employee_esop_William Anderson.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'customer support', 'william anderson', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details']","['# employee stock ownership', '# # employee', 'employee stock ownership', '# # esop', 'william anderson\\r\\n- <', 'full-time employment\\r\\n- <', 'customer support', 'vesting schedule:</strong', 'employee', 'ownership']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'william anderson\\r\\n- < strong', 'strong', '# esop details:\\r\\n-', 'customer support specialist\\r\\n-', 'voting rights', 'employee', 'fair market value\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'william anderson\\r\\n- <', 'employee', 'customer support specialist\\r\\n-', 'ownership interest', 'voting rights', 'plan', 'customer support\\r\\n\\r\\n', 'fair market value\\r\\n-', 'rights']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Zoe Lee.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'customer success', 'zoe lee', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details']","['customer success\\r\\n\\r\\n # # esop', '# # employee', '# employee', 'zoe lee\\r\\n- <', 'customer success', 'vesting schedule:</strong', 'employee', 'ownership', '<', 'market']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'customer success\\r\\n\\r\\n # # esop details:\\r\\n-', 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'zoe lee\\r\\n- < strong', 'strong', 'voting rights', 'customer success manager\\r\\n-', 'employee', 'fair market value\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['zoe lee\\r\\n- <', 'employee', 'customer success manager\\r\\n-', 'ownership interest', 'voting rights', 'plan', 'fair market value\\r\\n-', 'rights', 'zoe lee', 'esop']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'responsibilities', 'schedule']"
employee_payslip_Ava Thomas.md,"['employee payslip', 'ava thomas', 'strong', 'employee', 'october', 'net pay', 'pay period', 'total', 'ava', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'administrative assistant\\r\\n- <', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip', 'net pay:</strong']","['strong', 'october', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'ava thomas', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'ava thomas\\r\\n-', 'net pay:</strong', 'total deductions:</strong']","['strong', 'october', 'pay period', 'employee', 'earnings', 'ava thomas', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_David Lee.md,"['employee payslip', 'david lee', 'strong', 'employee', 'net pay', 'pay period', 'total', 'data', 'david', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee payslip', 'employee id:</strong', 'employee']","['strong', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'basic', 'david lee']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'david lee\\r\\n-', 'data analytics\\r\\n\\r\\n', 'data analyst\\r\\n-']","['strong', 'pay period', 'employee', 'earnings', 'david lee', 'deductions', 'basic', 'detailed breakdown', 'employee payslip', 'net pay']"
employee_payslip_Emily Brown.md,"['employee payslip', 'emily brown', 'strong', 'employee', 'april', 'net pay', 'pay period', 'total', 'emily', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'ux designer\\r\\n- <', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip', 'employee']","['strong', 'april', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'emily brown', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'emily brown\\r\\n-', 'pay period', 'total deductions:</strong']","['strong', 'april', 'pay period', 'employee', 'earnings', 'emily brown', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Ethan Rodriguez.md,"['employee payslip', 'ethan rodriguez', 'strong', 'employee', 'december', 'net pay', 'pay period', 'total', 'ethan', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'detailed breakdown', 'insurance contributions:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee payslip', 'employee id:</strong', '# earnings:\\r\\n-', 'net pay:</strong']","['strong', 'december', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'ethan rodriguez', 'basic', 'security']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'ethan rodriguez\\r\\n-', 'net pay:</strong', 'total deductions:</strong']","['strong', 'december', 'pay period', 'employee', 'earnings', 'ethan rodriguez', 'deductions', 'detailed breakdown', 'basic', 'security']"
employee_payslip_Eva Kim.md,"['employee payslip', 'eva kim', 'strong', 'employee', 'june', 'net pay', 'pay period', 'total', 'content', 'eva']","['# # employee', '# # net', '# # pay', '# employee', '# #', 'net pay', 'total deductions:</strong', 'employee', 'insurance contributions:</strong', 'basic salary:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee name:</strong', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip']","['june', 'strong', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'eva kim', 'employee payslip']","[""b'\\r\\n # employee"", 'employee name:</strong', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', '#', 'net pay', 'eva kim\\r\\n-', 'content moderation\\r\\n\\r\\n', 'content moderator\\r\\n-']","['june', 'strong', 'pay period', 'earnings', 'eva kim', 'deductions', 'detailed breakdown', 'employee payslip', 'net pay']"
employee_payslip_Jane Smith.md,"['employee payslip', 'jane smith', 'strong', 'employee', 'february', 'net pay', 'pay period', 'total', 'jane', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'marketing specialist\\r\\n- <', 'total deductions:</strong', 'basic salary:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee payslip', 'employee id:</strong', 'employee']","['strong', 'february', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'jane smith']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'jane smith\\r\\n-', 'jane smith', 'pay period']","['strong', 'february', 'pay period', 'employee', 'earnings', 'jane smith', 'deductions', 'detailed breakdown', 'employee payslip', 'net pay']"
employee_payslip_John Doe.md,"['employee payslip', 'john doe', 'strong', 'employee', 'january', 'net pay', 'pay period', 'total', 'john', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'software engineer\\r\\n- <', 'total deductions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee']","['strong', 'january', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'john doe', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'john doe\\r\\n-', 'john doe', 'pay period']","['strong', 'january', 'pay period', 'employee', 'earnings', 'john doe', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Leo Kim.md,"['employee payslip', 'leo kim', 'strong', 'employee', 'april', 'net pay', 'pay period', 'total', 'data', 'leo']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip', 'employee']","['strong', 'april', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'leo kim', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'leo kim\\r\\n-', 'data science\\r\\n\\r\\n', 'data scientist\\r\\n-']","['strong', 'april', 'pay period', 'employee', 'earnings', 'leo kim', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Liam Kim.md,"['employee payslip', 'liam kim', 'strong', 'employee', 'august', 'net pay', 'pay period', 'total', 'data', 'liam']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'data engineer\\r\\n- <', 'total deductions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee']","['strong', 'august', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'liam kim', 'basic', 'data']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'liam kim\\r\\n-', 'data engineer\\r\\n-', 'liam kim']","['strong', 'august', 'pay period', 'employee', 'earnings', 'liam kim', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Lucas Martinez.md,"['employee payslip', 'quality assurance', 'lucas martinez', 'strong', 'employee', 'february', 'net pay', 'pay period', 'total', 'quality']","['# # employee', '# # net', '# # pay', '# employee', '# #', 'net pay', 'total deductions:</strong', 'employee', '<', 'quality assurance']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'quality assurance specialist\\r\\n- < strong', 'lucas martinez\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee name:</strong', 'employee id:</strong']","['february', 'strong', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'lucas martinez', 'employee payslip']","[""b'\\r\\n # employee"", 'lucas martinez\\r\\n- <', 'employee name:</strong', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', '#', 'net pay', 'quality assurance\\r\\n\\r\\n', 'lucas martinez']","['february', 'strong', 'pay period', 'earnings', 'lucas martinez', 'deductions', 'detailed breakdown', 'employee payslip', 'net pay']"
employee_payslip_Luna Nguyen.md,"['employee payslip', 'luna nguyen', 'strong', 'employee', 'march', 'net pay', 'pay period', 'total', 'content', 'luna']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee payslip', 'employee id:</strong', 'net pay:</strong']","['strong', 'march', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'luna nguyen', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', '#', 'employee', 'net pay', 'luna nguyen\\r\\n-', 'content creation\\r\\n\\r\\n', 'net pay:</strong']","['strong', 'march', 'pay period', 'employee', 'earnings', 'luna nguyen', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Max Nguyen.md,"['employee payslip', 'max nguyen', 'strong', 'employee', 'july', 'net pay', 'pay period', 'total', 'max', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'developer\\r\\n- <', 'total deductions:</strong', '<', 'insurance contributions:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'max nguyen\\r\\n- < strong', 'software developer\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', 'employee payslip', 'employee id:</strong']","['strong', 'july', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'employee', 'max nguyen', 'basic']","[""b'\\r\\n # employee"", 'max nguyen\\r\\n- <', 'employee id:</strong', 'software developer\\r\\n- <', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'max nguyen']","['strong', 'july', 'pay period', 'employee', 'earnings', 'max nguyen', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Mia Hernandez.md,"['employee payslip', 'public relations', 'mia hernandez', 'strong', 'employee', 'january', 'net pay', 'pay period', 'total', 'public']","['# # employee', '# # net', '# # pay', '# employee', '# #', 'net pay', 'total deductions:</strong', 'employee', 'insurance contributions:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'employee name:</strong', 'net pay', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-']","['strong', 'january', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'mia hernandez', 'basic', 'employee payslip', 'public']","[""b'\\r\\n # employee"", 'employee name:</strong', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', '#', 'net pay', 'public relations manager\\r\\n-', 'mia hernandez\\r\\n-', 'mia hernandez']","['strong', 'january', 'pay period', 'earnings', 'mia hernandez', 'deductions', 'detailed breakdown', 'basic', 'employee payslip', 'net pay']"
employee_payslip_Michael Johnson.md,"['employee payslip', 'michael johnson', 'strong', 'employee', 'march', 'net pay', 'pay period', 'total', 'product', 'michael']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip', 'employee']","['strong', 'march', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'michael johnson', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'michael johnson\\r\\n-', 'product management\\r\\n\\r\\n', 'product manager\\r\\n-']","['strong', 'march', 'pay period', 'employee', 'earnings', 'michael johnson', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Mila Lee.md,"['employee payslip', 'mila lee', 'strong', 'employee', 'september', 'net pay', 'pay period', 'total', 'mila', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'product designer\\r\\n- <', 'total deductions:</strong', 'insurance contributions:</strong', 'end date:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee id:</strong', 'employee payslip', 'employee']","['strong', 'september', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'mila lee', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'mila lee\\r\\n-', 'pay period', 'mila lee']","['strong', 'september', 'pay period', 'employee', 'earnings', 'mila lee', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Olivia Taylor.md,"['employee payslip', 'olivia taylor', 'strong', 'employee', 'august', 'net pay', 'pay period', 'total', 'olivia', 'net']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'sales manager\\r\\n- <', 'total deductions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee payslip', 'employee id:</strong', 'employee']","['strong', 'august', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'olivia taylor', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'olivia taylor\\r\\n-', 'pay period', 'olivia taylor']","['strong', 'august', 'pay period', 'employee', 'earnings', 'olivia taylor', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Robert Martinez.md,"['employee payslip', 'robert martinez', 'strong', 'employee', 'july', 'net pay', 'pay period', 'total', 'robert', 'net']","['# # employee', '# # net', '# # pay', '# employee', '# #', 'finance manager\\r\\n- <', 'net pay', 'total deductions:</strong', 'employee', 'insurance contributions:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'robert martinez\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'employee name:</strong', 'employee id:</strong', 'net pay', 'employee payslip']","['strong', 'july', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'robert martinez', 'basic', 'employee payslip']","[""b'\\r\\n # employee"", 'employee name:</strong', 'robert martinez\\r\\n- <', 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', '#', 'net pay', 'robert martinez', 'pay period']","['strong', 'july', 'pay period', 'earnings', 'robert martinez', 'deductions', 'detailed breakdown', 'basic', 'employee payslip', 'net pay']"
employee_payslip_Sarah Wilson.md,"['employee payslip', 'sarah wilson', 'strong', 'employee', 'june', 'net pay', 'pay period', 'total', 'sarah', 'net']","['human resources\\r\\n\\r\\n # # pay', '# # employee', '# # net', '# #', '# employee', 'net pay', 'hr specialist\\r\\n- <', 'total deductions:</strong', 'end date:</strong', 'employee']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', 'net pay', '# earnings:\\r\\n-', 'employee payslip', 'employee id:</strong', 'employee']","['strong', 'june', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'sarah wilson', 'basic']","[""b'\\r\\n # employee"", 'employee id:</strong', 'employee payslip', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'sarah wilson\\r\\n-', 'pay period', 'sarah wilson']","['strong', 'june', 'pay period', 'employee', 'earnings', 'sarah wilson', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Sophia Garcia.md,"['employee payslip', 'sophia garcia', 'strong', 'employee', 'november', 'net pay', 'pay period', 'total', 'sophia', 'net']","['# # employee', '# # net', '# # pay', '# employee', '# #', 'legal counsel\\r\\n- <', 'net pay', 'total deductions:</strong', 'employee', 'insurance contributions:</strong']","['# employee information:\\r\\n- < strong', '# pay period:\\r\\n- < strong', 'sophia garcia\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', '5,458.33\\r\\n\\r\\nthis employee payslip', 'net pay', 'employee id:</strong', '# earnings:\\r\\n-']","['strong', 'november', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'basic', 'sophia garcia', 'employee']","[""b'\\r\\n # employee"", 'sophia garcia\\r\\n- <', '5,458.33\\r\\n\\r\\nthis employee payslip', 'employee id:</strong', '# earnings:\\r\\n-', 'employee', '#', 'net pay', 'sophia garcia', 'net pay:</strong']","['strong', 'november', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'sophia garcia', 'basic', 'net pay', 'employee']"
employee_payslip_William Anderson.md,"['employee payslip', 'customer support', 'william anderson', 'strong', 'employee', 'september', 'net pay', 'pay period', 'total', 'customer']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'william anderson\\r\\n- <', 'net pay', 'total deductions:</strong', 'customer support', 'insurance contributions:</strong']","['customer support\\r\\n\\r\\n # # pay period:\\r\\n- < strong', '# employee information:\\r\\n- < strong', 'william anderson\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', '# earnings:\\r\\n-', 'net pay', 'employee payslip', 'employee id:</strong']","['strong', 'september', 'pay period', 'earnings', 'deductions', 'detailed breakdown', 'employee', 'william anderson', 'basic']","[""b'\\r\\n # employee"", 'william anderson\\r\\n- <', '# earnings:\\r\\n-', 'employee id:</strong', '#', 'employee payslip', 'employee', 'net pay', 'customer support specialist\\r\\n-', 'pay period']","['strong', 'september', 'pay period', 'employee', 'earnings', 'william anderson', 'deductions', 'detailed breakdown', 'basic', 'employee payslip']"
employee_payslip_Zoe Lee.md,"['employee payslip', 'customer success', 'zoe lee', 'strong', 'employee', 'net pay', 'pay period', 'total', 'customer', 'zoe']","['# # employee', '# # net', '# # pay', '# #', '# employee', 'net pay', 'total deductions:</strong', 'customer success', 'insurance contributions:</strong', 'end date:</strong']","['customer success\\r\\n\\r\\n # # pay period:\\r\\n- < strong', '# employee information:\\r\\n- < strong', 'strong', ""b'\\r\\n # employee"", '# net pay:\\r\\n-', '# earnings:\\r\\n-', 'net pay', 'employee payslip', 'employee id:</strong', 'customer success manager\\r\\n-']","['strong', 'pay period', 'earnings', 'employee', 'deductions', 'detailed breakdown', 'basic', 'zoe lee']","[""b'\\r\\n # employee"", '# earnings:\\r\\n-', 'employee id:</strong', '#', 'employee payslip', 'employee', 'net pay', 'customer success manager\\r\\n-', 'zoe lee\\r\\n-', 'pay period']","['strong', 'pay period', 'employee', 'earnings', 'zoe lee', 'deductions', 'basic', 'detailed breakdown', 'employee payslip', 'net pay']"
